song_name,artist,album,movie,genre,duration_sec,release_year,rating,popularity_score,mood,language,streams,audio_url
Baarish Ban Jaana,Stebin Ben,Baarish Ban Jaana,Half Girlfriend,Bollywood,240,2017,4.8,95,Romantic,Hindi,450000000,https://example.com/audio/1.mp3
Galliyan,Emiway Bantai,Azaad,Ek Villain,Bollywood,210,2014,4.9,98,Sad,Hindi,520000000,https://example.com/audio/2.mp3
Tera Naam,Anirudh Ravichander,Tera Naam,Love Aaj Kal,Bollywood,195,2020,4.7,92,Romantic,Hindi,380000000,https://example.com/audio/3.mp3
Tum Mile,Farhan Akhtar,Tum Mile,Socha Na Tha,Bollywood,265,2005,4.8,94,Romantic,Hindi,410000000,https://example.com/audio/4.mp3
Aashiqui 2,Arijit Singh,Aashiqui 2,Aashiqui 2,Bollywood,225,2013,4.9,99,Romantic,Hindi,580000000,https://example.com/audio/5.mp3
Sooraj Dooba Hain,Arijit Singh,Roy,Roy,Bollywood,235,2015,4.8,96,Romantic,Hindi,470000000,https://example.com/audio/6.mp3
Kabira,Arijit Singh,Yeh Jawaani Hai Deewani,Yeh Jawaani Hai Deewani,Bollywood,245,2013,4.9,98,Romantic,Hindi,510000000,https://example.com/audio/7.mp3
Naina Da Kya Kasoor,Arijit Singh,Andhadhun,Andhadhun,Bollywood,220,2018,4.8,97,Romantic,Hindi,490000000,https://example.com/audio/8.mp3
Pehla Nasha,Udit Narayan,1942 A Love Story,1942 A Love Story,Bollywood,240,1994,4.7,91,Romantic,Hindi,320000000,https://example.com/audio/9.mp3
Pal Pal Dil Ke Paas,Kumar Sanu,Pal Pal Dil Ke Paas,Pal Pal Dil Ke Paas,Bollywood,255,1994,4.6,89,Romantic,Hindi,280000000,https://example.com/audio/10.mp3
Raastey Mein Teri,Atif Aslam,Masti,Masti,Bollywood,215,2004,4.5,85,Romantic,Hindi,250000000,https://example.com/audio/11.mp3
Tujhe Bhula Diya,KK,Chandni Bar,Chandni Bar,Bollywood,280,2001,4.7,90,Romantic,Hindi,290000000,https://example.com/audio/12.mp3
Dil Ke Paas Raho,Shamshad Begum,Ek Tha Raja,Ek Tha Raja,Bollywood,240,1951,4.5,80,Romantic,Hindi,150000000,https://example.com/audio/13.mp3
Mere Sapnon Ki Rani,Rafi,Aradhana,Aradhana,Bollywood,240,1969,4.6,82,Romantic,Hindi,170000000,https://example.com/audio/14.mp3
Lag Ja Gale,Lata Mangeshkar,Woh Kaun Thi,Woh Kaun Thi,Bollywood,220,1964,4.7,88,Romantic,Hindi,200000000,https://example.com/audio/15.mp3
Chaiyya Chaiyya,A.R. Rahman,Dil Se,Dil Se,Bollywood,270,1998,4.8,93,Energetic,Hindi,380000000,https://example.com/audio/16.mp3
Aaja Nachle,Sunidhi Chauhan,Aaja Nachle,Aaja Nachle,Bollywood,210,2007,4.6,84,Energetic,Hindi,220000000,https://example.com/audio/17.mp3
Mundian To Bach Ke,Punjabi MC,Mundian To Bach Ke,Single,Punjabi,230,2002,4.5,83,Energetic,Hindi,310000000,https://example.com/audio/18.mp3
Bulla Ki Jana,Kailash Kher,Rang De Basanti,Rang De Basanti,Bollywood,300,2006,4.7,87,Energetic,Hindi,270000000,https://example.com/audio/19.mp3
Dhoom Taana,Shilpa Rao,Dhoom,Dhoom,Bollywood,210,2004,4.6,82,Energetic,Hindi,240000000,https://example.com/audio/20.mp3
Duma Dum,Darshan Raval,Luka Chuppi,Luka Chuppi,Bollywood,225,2019,4.7,89,Energetic,Hindi,330000000,https://example.com/audio/21.mp3
Kar Gayi Chull,Badshah,Kapoor & Sons,Kapoor & Sons,Bollywood,220,2016,4.6,86,Energetic,Hindi,290000000,https://example.com/audio/22.mp3
One Two Three Four,Vishal Dadlani,Chennai Express,Chennai Express,Bollywood,235,2013,4.5,81,Energetic,Hindi,210000000,https://example.com/audio/23.mp3
Badshah Ki Harkat,Ritviz,Gully Boy,Gully Boy,Bollywood,195,2019,4.7,88,Hip-Hop,Hindi,340000000,https://example.com/audio/24.mp3
Apna Bana Le,Arijit Singh,Bhediya,Bhediya,Bollywood,240,2022,4.8,94,Romantic,Hindi,420000000,https://example.com/audio/25.mp3
Mere Samne Wali Khidki,S.D. Burman,Padosan,Padosan,Bollywood,225,1974,4.6,83,Upbeat,Hindi,190000000,https://example.com/audio/26.mp3
Tezaab Title Track,Lata Mangeshkar,Tezaab,Tezaab,Bollywood,245,1988,4.5,79,Energetic,Hindi,140000000,https://example.com/audio/27.mp3
Haan Main Galat,Arijit Singh,Lucknow Central,Lucknow Central,Bollywood,220,2017,4.7,85,Melancholic,Hindi,260000000,https://example.com/audio/28.mp3
Raabta,Deepika Padukone,Raabta,Raabta,Bollywood,235,2017,4.6,80,Romantic,Hindi,220000000,https://example.com/audio/29.mp3
Gerua,Arijit Singh,Dilwale,Dilwale,Bollywood,245,2015,4.8,95,Romantic,Hindi,480000000,https://example.com/audio/30.mp3
Prem Ratan Dhan Payo Title,Shreya Ghoshal,Prem Ratan Dhan Payo,Prem Ratan Dhan Payo,Bollywood,240,2015,4.5,78,Upbeat,Hindi,160000000,https://example.com/audio/31.mp3
Chaleya,Arijit Singh,Jawan,Jawan,Bollywood,250,2023,4.8,96,Energetic,Hindi,500000000,https://example.com/audio/32.mp3
Raatan Lambiyan,Jubin Nautiyal,Shershaah,Shershaah,Bollywood,230,2021,4.9,99,Romantic,Hindi,550000000,https://example.com/audio/33.mp3
Baarish Mein Tum,Arijit Singh,Jaane Bhi Do Yaaro 2,Jaane Bhi Do Yaaro 2,Bollywood,220,2023,4.7,90,Romantic,Hindi,360000000,https://example.com/audio/34.mp3
Chup Revenge of the Artist,Arijit Singh,Chup,Chup,Bollywood,215,2022,4.6,81,Melancholic,Hindi,240000000,https://example.com/audio/35.mp3
Ram Chahe Leela,Shreya Ghoshal,Goliyon Ki Raasleela,Goliyon Ki Raasleela Ram-Leela,Bollywood,280,2013,4.8,93,Romantic,Hindi,420000000,https://example.com/audio/36.mp3
Dilbaro,Harshdeep Kaur,Raazi,Raazi,Bollywood,225,2018,4.8,94,Romantic,Hindi,390000000,https://example.com/audio/37.mp3
Bekhayali,Arjun Kanungo,Kabali,Kabali,Bollywood,240,2016,4.7,89,Romantic,Hindi,350000000,https://example.com/audio/38.mp3
Tera Fitoor,Arijit Singh,Fitoor,Fitoor,Bollywood,235,2015,4.8,94,Romantic,Hindi,400000000,https://example.com/audio/39.mp3
Bandhan Toड़ Un Bandhan,Shreya Ghoshal,Shuddh Desi Romance,Shuddh Desi Romance,Bollywood,215,2013,4.6,82,Romantic,Hindi,210000000,https://example.com/audio/40.mp3
Tum Tak,Arijit Singh,Raazi,Raazi,Bollywood,225,2018,4.7,88,Romantic,Hindi,310000000,https://example.com/audio/41.mp3
Itni Si Baat,Arijit Singh,Itni Si Baat,Itni Si Baat,Bollywood,220,2022,4.8,95,Romantic,Hindi,460000000,https://example.com/audio/42.mp3
Dheeme Dheeme,Tony Kakkar,Dheeme Dheeme,Dheeme Dheeme,Bollywood,210,2018,4.5,76,Romantic,Hindi,380000000,https://example.com/audio/43.mp3
Saiya Jaan Gayi,Darshan Raval,Happy Bhag Jayegi,Happy Bhag Jayegi,Bollywood,200,2016,4.4,72,Romantic,Hindi,160000000,https://example.com/audio/44.mp3
Zaroorat,Arjun,Zaroorat,Zaroorat,Bollywood,235,2012,4.5,75,Romantic,Hindi,180000000,https://example.com/audio/45.mp3
Ek Duje Ke Liye,Lata Mangeshkar,Ek Duje Ke Liye,Ek Duje Ke Liye,Bollywood,240,1981,4.7,86,Romantic,Hindi,220000000,https://example.com/audio/46.mp3
Tumhe Apna Banane Ka,Lata Mangeshkar,Ek Duje Ke Liye,Ek Duje Ke Liye,Bollywood,215,1981,4.6,84,Romantic,Hindi,190000000,https://example.com/audio/47.mp3
Pyar Do Pyar Lo,Lata Mangeshkar,Ek Duje Ke Liye,Ek Duje Ke Liye,Bollywood,230,1981,4.5,81,Romantic,Hindi,170000000,https://example.com/audio/48.mp3
Hawa Hawai,Asha Parekh,Mr. India,Mr. India,Bollywood,255,1987,4.6,83,Upbeat,Hindi,230000000,https://example.com/audio/49.mp3
Kyun Rabba,Akhil Sachdeva,Raees,Raees,Bollywood,240,2017,4.7,87,Romantic,Hindi,300000000,https://example.com/audio/50.mp3
Janam Janam,Arijit Singh,Dilwale,Dilwale,Bollywood,245,2015,4.8,96,Romantic,Hindi,520000000,https://example.com/audio/51.mp3
Aaj Phir Teri Yaad,Irshad Kamil,Aashiqui,Aashiqui,Bollywood,240,1990,4.6,85,Romantic,Hindi,250000000,https://example.com/audio/52.mp3
Tere Liye,Atif Aslam,Life In A... Metro,Life in a Metro,Bollywood,230,2007,4.7,89,Romantic,Hindi,340000000,https://example.com/audio/53.mp3
Hona Tha Pyar,Vishal Dadlani,RHTDM,Rab Ne Bana Di Jodi,Bollywood,220,2008,4.6,83,Romantic,Hindi,280000000,https://example.com/audio/54.mp3
Jiye To Jiye Kaise,Talat Mahmood,Aas,Aas,Bollywood,245,1949,4.5,77,Romantic,Hindi,120000000,https://example.com/audio/55.mp3
Jheel Ke Kinare,Lata Mangeshkar,Chandni,Chandni,Bollywood,235,1989,4.7,88,Romantic,Hindi,260000000,https://example.com/audio/56.mp3
Bheegi Bheegi Raaton,Udit Narayan,Murder 2,Murder 2,Bollywood,215,2011,4.5,74,Romantic,Hindi,140000000,https://example.com/audio/57.mp3
Maula Jatt,Sukhbir,Maula Jatt,Maula Jatt,Punjabi,200,2009,4.4,70,Energetic,Hindi,120000000,https://example.com/audio/58.mp3
Psycho Saiyyan,Arijit Singh,Saaho,Saaho,Bollywood,225,2019,4.6,84,Energetic,Hindi,310000000,https://example.com/audio/59.mp3
Lamhe Teri Yaad Ke,Arijit Singh,Lamhe,Lamhe,Bollywood,240,1991,4.7,89,Romantic,Hindi,270000000,https://example.com/audio/60.mp3
